Neighborhood,Sector,Population.2010,Total_Adult_Residents_Employed.2010,Resident_Jobs:Construction,Resident_Jobs:Manufacturing,Resident_Jobs:Retail_Trade,"Resident_Jobs:Transportation,warehousing,utilities",Resident_Jobs:Information,"Resident_Jobs:Finance,insurance,real_estate","Resident_Jobs:Prof,scientific,admin,waste_mgmt","Resident_Jobs:Educ,health,social_services","Resident_Jobs:Arts,Ent,recreation,accommodation,food_services",Resident_Jobs:Public_admin,Resident_Jobs:Other,Total_Jobs_Located_in_Neighborhood.2000,Jobs_in_Hood:Construction,Jobs_in_Hood:Manufacturing,Jobs_in_Hood:Retail_trade,"Jobs_in_Hood:Transport,warehousing,utilities",Jobs_in_Hood:Information,"Jobs_in_Hood:Finance,insurance,real_estate","Jobs_in_Hood:Prof,scientific,admin,waste_mgmt","Jobs_in_Hood:Educ,health,social_services","Jobs_in_Hood:Arts,Ent,recreation,accommodation,food_services",Jobs_in_Hood:Public_admin,Jobs_in_Hood:Other
Lincoln Place,8,"3,227","1,907",7.20%,4.10%,16.60%,4.40%,0.40%,9.40%,12.30%,22.40%,5.50%,7.30%,10.30%,178,0.00%,2.20%,8.40%,2.20%,0.00%,0.00%,0.00%,14.00%,19.70%,16.90%,36.50%
Lincoln-Lemington-Belmar,11,"4,883","1,653",2.70%,4.00%,10.30%,1.30%,5.00%,6.60%,10.00%,36.30%,5.20%,9.70%,8.90%,"2,908",4.00%,0.00%,0.70%,1.20%,0.50%,1.70%,0.80%,79.40%,0.70%,7.40%,3.60%
Lower Lawrenceville,13,"2,341","1,281",3.50%,4.20%,9.60%,7.30%,5.30%,6.60%,8.00%,29.30%,9.10%,3.60%,13.50%,"1,840",12.00%,20.90%,6.80%,2.20%,0.80%,4.90%,3.80%,12.50%,3.30%,7.60%,25.30%
Manchester,3,"2,130",749,7.60%,4.50%,2.30%,10.30%,5.30%,7.10%,15.50%,27.20%,8.30%,2.70%,9.20%,714,3.50%,9.80%,8.40%,11.90%,0.60%,9.80%,8.40%,25.90%,0.00%,7.00%,14.70%
Marshall-Shadeland,2,"6,043","2,059",6.40%,5.40%,14.50%,3.50%,1.70%,7.10%,3.30%,31.00%,16.40%,1.90%,8.60%,"2,784",9.20%,14.70%,5.90%,23.00%,0.10%,0.50%,2.90%,10.20%,1.30%,14.90%,17.20%
Middle Hill,15,"1,707",608,0.00%,3.00%,0.50%,0.00%,4.10%,9.90%,8.40%,50.80%,3.90%,1.50%,17.90%,475,0.00%,0.00%,7.40%,0.00%,0.00%,7.40%,9.50%,40.00%,10.50%,5.30%,20.00%
Morningside,12,"3,346","1,988",3.00%,1.80%,9.70%,3.10%,0.50%,8.10%,8.10%,34.00%,13.40%,5.10%,13.10%,354,12.70%,1.10%,11.30%,0.00%,0.00%,0.00%,15.50%,26.80%,2.80%,1.10%,28.50%
Mount Washington,6,"8,799","5,378",2.40%,5.80%,12.90%,3.90%,3.20%,9.20%,14.10%,26.60%,13.90%,3.00%,5.00%,"1,326",4.10%,2.20%,10.20%,0.80%,1.80%,7.80%,12.80%,26.40%,23.40%,0.80%,9.70%
Mt. Oliver,7,509,206,0.00%,8.30%,25.70%,5.30%,0.00%,5.30%,4.90%,15.50%,4.90%,5.30%,24.80%,98,0.00%,0.00%,4.10%,0.00%,0.00%,0.00%,0.00%,91.80%,0.00%,4.10%,0.00%
New Homestead,8,990,737,1.90%,3.50%,25.00%,11.40%,0.00%,5.60%,5.80%,22.90%,1.90%,8.00%,14.00%,12,33.30%,0.00%,0.00%,0.00%,0.00%,0.00%,33.30%,33.30%,0.00%,0.00%,0.00%
North Oakland,14,"10,551","3,512",0.60%,2.10%,10.10%,2.00%,0.30%,2.00%,9.00%,52.20%,16.70%,3.20%,1.80%,"18,174",0.90%,1.90%,3.30%,0.80%,3.10%,2.40%,5.70%,69.50%,8.80%,1.00%,2.50%
North Shore,16,303,162,14.80%,14.20%,0.00%,0.00%,0.00%,0.00%,21.00%,29.00%,0.00%,0.00%,21.00%,"3,400",13.10%,17.60%,1.80%,0.60%,7.10%,5.10%,20.30%,10.90%,13.20%,1.20%,9.10%
Northview Heights,1,"1,214",296,0.00%,8.40%,15.50%,0.00%,0.00%,15.20%,13.50%,20.60%,7.10%,14.90%,4.70%,210,0.00%,0.00%,59.50%,0.00%,0.00%,0.00%,0.00%,35.70%,0.00%,0.00%,4.80%
Oakwood,4,"1,027",418,9.80%,3.80%,9.60%,2.90%,4.50%,4.30%,9.30%,28.50%,10.30%,10.50%,6.50%,414,8.50%,2.40%,2.40%,1.00%,0.00%,4.80%,21.70%,19.30%,16.90%,3.60%,19.30%
Overbrook,5,"3,644","2,050",9.20%,8.10%,5.70%,6.40%,2.20%,7.60%,12.60%,25.50%,6.70%,5.90%,10.00%,843,12.50%,4.70%,23.10%,3.40%,0.50%,1.20%,22.50%,10.70%,7.10%,1.20%,13.00%
Perry North,2,"4,050","2,200",9.70%,6.00%,9.80%,4.70%,3.70%,6.00%,9.80%,31.10%,7.60%,2.50%,9.00%,629,1.60%,4.80%,0.00%,1.60%,2.20%,3.20%,6.40%,66.00%,1.60%,6.40%,6.40%
Perry South,2,"4,145","1,533",3.00%,2.90%,4.70%,4.80%,1.90%,9.80%,12.50%,34.10%,8.60%,8.90%,8.80%,987,5.60%,5.60%,4.10%,0.40%,0.00%,1.40%,4.60%,61.80%,3.00%,1.00%,12.60%
Point Breeze,10,"5,315","3,237",6.90%,7.20%,3.20%,1.20%,1.80%,7.40%,16.00%,42.70%,5.70%,2.40%,5.60%,"1,459",3.80%,2.00%,5.80%,1.40%,2.70%,1.70%,15.80%,27.10%,19.50%,1.70%,18.50%
Point Breeze North,11,"2,054","1,028",1.30%,2.90%,3.00%,1.10%,5.60%,4.00%,5.80%,46.00%,17.80%,5.90%,6.50%,"1,970",4.80%,14.70%,10.20%,1.00%,1.80%,5.60%,7.90%,37.10%,0.50%,2.30%,14.20%
Polish Hill,13,"1,274",941,5.80%,8.70%,23.80%,7.70%,0.00%,3.10%,6.00%,30.50%,10.60%,3.40%,0.40%,318,3.10%,4.70%,6.30%,4.70%,1.30%,0.00%,15.70%,1.30%,45.60%,0.00%,17.30%
Regent Square,10,928,657,0.00%,13.20%,3.70%,4.00%,4.40%,10.20%,11.40%,45.50%,1.50%,1.50%,4.60%,159,0.00%,15.70%,25.20%,0.00%,0.00%,0.00%,18.90%,22.00%,15.70%,0.00%,2.50%
Ridgemont,4,483,276,0.00%,49.60%,4.00%,4.00%,0.00%,12.30%,3.60%,18.50%,0.00%,4.00%,4.00%,30,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
Shadyside,12,"13,915","8,397",0.90%,4.90%,6.40%,2.30%,3.00%,7.60%,17.70%,45.60%,7.10%,1.70%,2.80%,"9,027",2.40%,1.90%,10.90%,4.10%,1.30%,4.60%,6.20%,52.60%,7.40%,0.60%,8.00%
Sheraden,4,"5,299","2,524",8.90%,5.60%,13.60%,6.20%,1.70%,11.30%,11.10%,17.20%,14.90%,3.60%,5.90%,707,24.00%,7.60%,6.40%,6.90%,4.20%,4.20%,2.80%,25.50%,6.40%,2.70%,9.20%
South Oakland,14,"2,969","1,124",0.70%,3.80%,11.80%,4.20%,0.60%,6.30%,9.80%,25.60%,29.20%,3.00%,4.90%,"3,830",6.30%,6.00%,1.80%,2.20%,1.70%,0.30%,6.50%,60.40%,1.70%,8.50%,4.60%
South Shore,16,19,38,0.00%,28.90%,0.00%,0.00%,0.00%,0.00%,0.00%,26.30%,44.70%,0.00%,0.00%,"2,815",3.20%,6.00%,6.70%,1.10%,15.80%,18.70%,16.70%,1.40%,21.70%,1.20%,7.50%
